country,year,sex,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($),generation,age_lb,age_ub
Russian Federation,1991,female,1510,4831000,31.26,"517,962,962,963",3773,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1991,male,2984,10112700,29.51,"517,962,962,963",3773,Generation X,15,24
,,,,,,,,,,
Russian Federation,1991,female,2926,15781500,18.54,"517,962,962,963",3773,Silent,55,74
,,,,,,,,,,
Russian Federation,1991,female,2429,19987200,12.15,"517,962,962,963",3773,Boomers,35,54
,,,,,,,,,,
Russian Federation,1991,female,888,11901200,7.46,"517,962,962,963",3773,Boomers,25,34
,,,,,,,,,,
Russian Federation,1991,female,642,9697300,6.62,"517,962,962,963",3773,Generation X,15,24
,,,,,,,,,,
Russian Federation,1991,male,298,11561800,2.58,"517,962,962,963",3773,Millenials,5,14
,,,,,,,,,,
Russian Federation,1991,female,65,11204500,0.58,"517,962,962,963",3773,Millenials,5,14
,,,,,,,,,,
Russian Federation,1992,male,1233,1340500,91.98,"460,290,556,901",3333,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1992,male,15824,18933500,83.58,"460,290,556,901",3333,Boomers,35,54
,,,,,,,,,,
Russian Federation,1992,male,8014,10319200,77.66,"460,290,556,901",3333,Silent,55,74
,,,,,,,,,,
Russian Federation,1992,male,7958,11773600,67.59,"460,290,556,901",3333,Boomers,25,34
,,,,,,,,,,
Russian Federation,1992,male,3447,10235100,33.68,"460,290,556,901",3333,Generation X,15,24
,,,,,,,,,,
Russian Federation,1992,female,1458,4741300,30.75,"460,290,556,901",3333,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1992,female,3133,16206600,19.33,"460,290,556,901",3333,Silent,55,74
,,,,,,,,,,
Russian Federation,1992,female,2768,20093200,13.78,"460,290,556,901",3333,Boomers,35,54
,,,,,,,,,,
Russian Federation,1992,female,990,11561000,8.56,"460,290,556,901",3333,Boomers,25,34
,,,,,,,,,,
Russian Federation,1992,female,704,9791500,7.19,"460,290,556,901",3333,Generation X,15,24
,,,,,,,,,,
Russian Federation,1992,male,318,11747200,2.71,"460,290,556,901",3333,Millenials,5,14
,,,,,,,,,,
Russian Federation,1992,female,76,11376200,0.67,"460,290,556,901",3333,Millenials,5,14
,,,,,,,,,,
Russian Federation,1993,male,20256,18908000,107.13,"435,083,713,851",3160,Boomers,35,54
,,,,,,,,,,
Russian Federation,1993,male,1364,1302200,104.75,"435,083,713,851",3160,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1993,male,10118,10681300,94.73,"435,083,713,851",3160,Silent,55,74
,,,,,,,,,,
Russian Federation,1993,male,9328,11260400,82.84,"435,083,713,851",3160,Boomers,25,34
,,,,,,,,,,
Russian Federation,1993,male,4347,10306400,42.18,"435,083,713,851",3160,Generation X,15,24
,,,,,,,,,,
Russian Federation,1993,female,1468,4615000,31.81,"435,083,713,851",3160,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1993,female,3433,16579000,20.71,"435,083,713,851",3160,Silent,55,74
,,,,,,,,,,
Russian Federation,1993,female,3163,20012400,15.81,"435,083,713,851",3160,Boomers,35,54
,,,,,,,,,,
Russian Federation,1993,female,1154,11063800,10.43,"435,083,713,851",3160,Boomers,25,34
,,,,,,,,,,
Russian Federation,1993,female,785,9824100,7.99,"435,083,713,851",3160,Generation X,15,24
,,,,,,,,,,
Russian Federation,1993,male,337,11763700,2.86,"435,083,713,851",3160,Millenials,5,14
,,,,,,,,,,
Russian Federation,1993,female,93,11376500,0.82,"435,083,713,851",3160,Millenials,5,14
,,,,,,,,,,
Russian Federation,1994,male,22338,19044200,117.3,"395,077,301,248",2853,Boomers,35,54
,,,,,,,,,,
Russian Federation,1994,male,1412,1281400,110.19,"395,077,301,248",2853,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1994,male,11431,11006300,103.86,"395,077,301,248",2853,Silent,55,74
,,,,,,,,,,
Russian Federation,1994,male,10310,10947200,94.18,"395,077,301,248",2853,Boomers,25,34
,,,,,,,,,,
Russian Federation,1994,male,5177,10518500,49.22,"395,077,301,248",2853,Generation X,15,24
,,,,,,,,,,
Russian Federation,1994,female,1454,4526500,32.12,"395,077,301,248",2853,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1994,female,3489,16977700,20.55,"395,077,301,248",2853,Silent,55,74
,,,,,,,,,,
Russian Federation,1994,female,3257,20124300,16.18,"395,077,301,248",2853,Boomers,35,54
,,,,,,,,,,
Russian Federation,1994,female,1198,10708700,11.19,"395,077,301,248",2853,Boomers,25,34
,,,,,,,,,,
Russian Federation,1994,female,915,10036800,9.12,"395,077,301,248",2853,Generation X,15,24
,,,,,,,,,,
Russian Federation,1994,male,364,11857400,3.07,"395,077,301,248",2853,Millenials,5,14
,,,,,,,,,,
Russian Federation,1994,female,75,11447200,0.66,"395,077,301,248",2853,Millenials,5,14
,,,,,,,,,,
Russian Federation,1995,male,21706,19249600,112.76,"395,531,066,563",2844,Boomers,35,54
,,,,,,,,,,
Russian Federation,1995,male,11152,11227000,99.33,"395,531,066,563",2844,Silent,55,74
,,,,,,,,,,
Russian Federation,1995,male,1182,1258900,93.89,"395,531,066,563",2844,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1995,male,9787,10700700,91.46,"395,531,066,563",2844,Generation X,25,34
,,,,,,,,,,
Russian Federation,1995,male,5733,10678300,53.69,"395,531,066,563",2844,Generation X,15,24
,,,,,,,,,,
Russian Federation,1995,female,1546,4436700,34.85,"395,531,066,563",2844,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1995,female,3499,17293700,20.23,"395,531,066,563",2844,Silent,55,74
,,,,,,,,,,
Russian Federation,1995,female,3328,20339300,16.36,"395,531,066,563",2844,Boomers,35,54
,,,,,,,,,,
Russian Federation,1995,female,1179,10375900,11.36,"395,531,066,563",2844,Generation X,25,34
,,,,,,,,,,
Russian Federation,1995,female,1003,10253200,9.78,"395,531,066,563",2844,Generation X,15,24
,,,,,,,,,,
Russian Federation,1995,male,355,11854400,2.99,"395,531,066,563",2844,Millenials,5,14
,,,,,,,,,,
Russian Federation,1995,female,78,11419400,0.68,"395,531,066,563",2844,Millenials,5,14
,,,,,,,,,,
Russian Federation,1996,male,20562,19507100,105.41,"391,719,993,757",2813,Boomers,35,54
,,,,,,,,,,
Russian Federation,1996,male,1192,1242800,95.91,"391,719,993,757",2813,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1996,male,10754,11361400,94.65,"391,719,993,757",2813,Silent,55,74
,,,,,,,,,,
Russian Federation,1996,male,9214,10443600,88.23,"391,719,993,757",2813,Generation X,25,34
,,,,,,,,,,
Russian Federation,1996,male,5784,10772000,53.69,"391,719,993,757",2813,Generation X,15,24
,,,,,,,,,,
Russian Federation,1996,female,1418,4369100,32.46,"391,719,993,757",2813,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1996,female,3205,17502200,18.31,"391,719,993,757",2813,Silent,55,74
,,,,,,,,,,
Russian Federation,1996,female,2953,20618800,14.32,"391,719,993,757",2813,Boomers,35,54
,,,,,,,,,,
Russian Federation,1996,female,1127,10062400,11.2,"391,719,993,757",2813,Generation X,25,34
,,,,,,,,,,
Russian Federation,1996,female,904,10409100,8.68,"391,719,993,757",2813,Generation X,15,24
,,,,,,,,,,
Russian Federation,1996,male,320,11716700,2.73,"391,719,993,757",2813,Millenials,5,14
,,,,,,,,,,
Russian Federation,1996,female,78,11267400,0.69,"391,719,993,757",2813,Millenials,5,14
,,,,,,,,,,
Russian Federation,1997,male,1205,1241100,97.09,"404,926,534,140",2907,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1997,male,18973,19913400,95.28,"404,926,534,140",2907,Boomers,35,54
,,,,,,,,,,
Russian Federation,1997,male,10726,11327500,94.69,"404,926,534,140",2907,Silent,55,74
,,,,,,,,,,
Russian Federation,1997,male,8222,10242100,80.28,"404,926,534,140",2907,Generation X,25,34
,,,,,,,,,,
Russian Federation,1997,male,5780,10874000,53.15,"404,926,534,140",2907,Generation X,15,24
,,,,,,,,,,
Russian Federation,1997,female,1424,4360900,32.65,"404,926,534,140",2907,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1997,female,3180,17453600,18.22,"404,926,534,140",2907,Silent,55,74
,,,,,,,,,,
Russian Federation,1997,female,2819,21047500,13.39,"404,926,534,140",2907,Boomers,35,54
,,,,,,,,,,
Russian Federation,1997,female,1050,9833800,10.68,"404,926,534,140",2907,Generation X,25,34
,,,,,,,,,,
Russian Federation,1997,female,945,10556600,8.95,"404,926,534,140",2907,Generation X,15,24
,,,,,,,,,,
Russian Federation,1997,male,346,11444500,3.02,"404,926,534,140",2907,Millenials,5,14
,,,,,,,,,,
Russian Federation,1997,female,76,10988200,0.69,"404,926,534,140",2907,Millenials,5,14
,,,,,,,,,,
Russian Federation,1998,male,18058,20487900,88.14,"270,953,116,950",1948,Boomers,35,54
,,,,,,,,,,
Russian Federation,1998,male,1110,1261400,88,"270,953,116,950",1948,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1998,male,9683,11058100,87.56,"270,953,116,950",1948,Silent,55,74
,,,,,,,,,,
Russian Federation,1998,male,7634,10104200,75.55,"270,953,116,950",1948,Generation X,25,34
,,,,,,,,,,
Russian Federation,1998,male,5729,11040600,51.89,"270,953,116,950",1948,Generation X,15,24
,,,,,,,,,,
Russian Federation,1998,female,1431,4434700,32.27,"270,953,116,950",1948,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1998,female,2917,17046200,17.11,"270,953,116,950",1948,Silent,55,74
,,,,,,,,,,
Russian Federation,1998,female,2715,21695000,12.51,"270,953,116,950",1948,Boomers,35,54
,,,,,,,,,,
Russian Federation,1998,female,902,9685600,9.31,"270,953,116,950",1948,Generation X,25,34
,,,,,,,,,,
Russian Federation,1998,female,927,10752700,8.62,"270,953,116,950",1948,Generation X,15,24
,,,,,,,,,,
Russian Federation,1998,male,333,11006800,3.03,"270,953,116,950",1948,Millenials,5,14
,,,,,,,,,,
Russian Federation,1998,female,79,10548900,0.75,"270,953,116,950",1948,Millenials,5,14
,,,,,,,,,,
Russian Federation,1999,male,10609,10669100,99.44,"195,905,767,669",1412,Silent,55,74
,,,,,,,,,,
Russian Federation,1999,male,20705,21016400,98.52,"195,905,767,669",1412,Boomers,35,54
,,,,,,,,,,
Russian Federation,1999,male,1128,1310400,86.08,"195,905,767,669",1412,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1999,male,8101,10022400,80.83,"195,905,767,669",1412,Generation X,25,34
,,,,,,,,,,
Russian Federation,1999,male,6120,11232900,54.48,"195,905,767,669",1412,Generation X,15,24
,,,,,,,,,,
Russian Federation,1999,female,1490,4569600,32.61,"195,905,767,669",1412,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1999,female,3072,16457600,18.67,"195,905,767,669",1412,Silent,55,74
,,,,,,,,,,
Russian Federation,1999,female,3128,22337800,14,"195,905,767,669",1412,Boomers,35,54
,,,,,,,,,,
Russian Federation,1999,female,1041,9616300,10.83,"195,905,767,669",1412,Generation X,25,34
,,,,,,,,,,
Russian Federation,1999,female,1080,10957600,9.86,"195,905,767,669",1412,Generation X,15,24
,,,,,,,,,,
Russian Federation,1999,male,402,10490300,3.83,"195,905,767,669",1412,Millenials,5,14
,,,,,,,,,,
Russian Federation,1999,female,98,10037400,0.98,"195,905,767,669",1412,Millenials,5,14
,,,,,,,,,,
Russian Federation,2000,male,21063,21378098,98.53,"259,708,496,267",1879,Boomers,35,54
,,,,,,,,,,
Russian Federation,2000,male,9656,10282841,93.9,"259,708,496,267",1879,Silent,55,74
,,,,,,,,,,
Russian Federation,2000,male,8654,10025181,86.32,"259,708,496,267",1879,Generation X,25,34
,,,,,,,,,,
Russian Federation,2000,male,1165,1380292,84.4,"259,708,496,267",1879,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,2000,male,6578,11393600,57.73,"259,708,496,267",1879,Generation X,15,24
,,,,,,,,,,
Russian Federation,2000,female,1382,4729070,29.22,"259,708,496,267",1879,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,2000,female,2646,15887955,16.65,"259,708,496,267",1879,Silent,55,74
,,,,,,,,,,
Russian Federation,2000,female,2926,22830770,12.82,"259,708,496,267",1879,Boomers,35,54
,,,,,,,,,,
Russian Federation,2000,female,1027,9648389,10.64,"259,708,496,267",1879,Generation X,25,34
,,,,,,,,,,
Russian Federation,2000,female,1015,11120027,9.13,"259,708,496,267",1879,Generation X,15,24
,,,,,,,,,,
Russian Federation,2000,male,404,9986252,4.05,"259,708,496,267",1879,Millenials,5,14
,,,,,,,,,,
Russian Federation,2000,female,103,9543220,1.08,"259,708,496,267",1879,Millenials,5,14
,,,,,,,,,,
Russian Federation,2001,male,21262,21476420,99,"306,602,673,980",2229,Boomers,35,54
,,,,,,,,,,
Russian Federation,2001,male,9234,10030533,92.06,"306,602,673,980",2229,Silent,55,74
,,,,,,,,,,
Russian Federation,2001,male,8886,10078045,88.17,"306,602,673,980",2229,Generation X,25,34
,,,,,,,,,,
Russian Federation,2001,male,1236,1485110,83.23,"306,602,673,980",2229,Silent,75,120
,,,,,,,,,,
Russian Federation,2001,male,6945,11547645,60.14,"306,602,673,980",2229,Millenials,15,24
,,,,,,,,,,
Russian Federation,2001,female,1349,4919708,27.42,"306,602,673,980",2229,Silent,75,120
,,,,,,,,,,
Russian Federation,2001,female,2471,15506563,15.94,"306,602,673,980",2229,Silent,55,74
,,,,,,,,,,
Russian Federation,2001,female,2920,23046634,12.67,"306,602,673,980",2229,Boomers,35,54
,,,,,,,,,,
Russian Federation,2001,female,1087,9733290,11.17,"306,602,673,980",2229,Generation X,25,34
,,,,,,,,,,
Russian Federation,2001,female,1065,11270161,9.45,"306,602,673,980",2229,Millenials,15,24
,,,,,,,,,,
Russian Federation,2001,male,389,9428879,4.13,"306,602,673,980",2229,Millenials,5,14
,,,,,,,,,,
Russian Federation,2001,female,114,8998521,1.27,"306,602,673,980",2229,Millenials,5,14
,,,,,,,,,,
Russian Federation,2002,male,20119,21320535,94.36,"345,110,438,692",2527,Boomers,35,54
,,,,,,,,,,
Russian Federation,2002,male,8850,9892090,89.47,"345,110,438,692",2527,Silent,55,74
,,,,,,,,,,
Russian Federation,2002,male,8696,10156286,85.62,"345,110,438,692",2527,Generation X,25,34
,,,,,,,,,,
Russian Federation,2002,male,1297,1622258,79.95,"345,110,438,692",2527,Silent,75,120
,,,,,,,,,,
Russian Federation,2002,male,6667,11714752,56.91,"345,110,438,692",2527,Millenials,15,24
,,,,,,,,,,
Russian Federation,2002,female,1452,5126645,28.32,"345,110,438,692",2527,Silent,75,120
,,,,,,,,,,
Russian Federation,2002,female,2472,15292297,16.17,"345,110,438,692",2527,Silent,55,74
,,,,,,,,,,
Russian Federation,2002,female,2910,22995821,12.65,"345,110,438,692",2527,Boomers,35,54
,,,,,,,,,,
Russian Federation,2002,female,1086,9838656,11.04,"345,110,438,692",2527,Generation X,25,34
,,,,,,,,,,
Russian Federation,2002,female,1054,11425220,9.23,"345,110,438,692",2527,Millenials,15,24
,,,,,,,,,,
Russian Federation,2002,male,338,8810074,3.84,"345,110,438,692",2527,Millenials,5,14
,,,,,,,,,,
Russian Federation,2002,female,83,8396266,0.99,"345,110,438,692",2527,Millenials,5,14
,,,,,,,,,,
Russian Federation,2003,male,1497,1648684,90.8,"430,347,770,732",3141,Silent,75,120
,,,,,,,,,,
Russian Federation,2003,male,18681,21007346,88.93,"430,347,770,732",3141,Boomers,35,54
,,,,,,,,,,
Russian Federation,2003,male,8314,9920853,83.8,"430,347,770,732",3141,Silent,55,74
,,,,,,,,,,
Russian Federation,2003,male,8085,10260634,78.8,"430,347,770,732",3141,Generation X,25,34
,,,,,,,,,,
Russian Federation,2003,male,6134,12256012,50.05,"430,347,770,732",3141,Millenials,15,24
,,,,,,,,,,
Russian Federation,2003,female,1420,5170321,27.46,"430,347,770,732",3141,Silent,75,120
,,,,,,,,,,
Russian Federation,2003,female,2214,15243314,14.52,"430,347,770,732",3141,Silent,55,74
,,,,,,,,,,
Russian Federation,2003,female,2718,23024470,11.8,"430,347,770,732",3141,Boomers,35,54
,,,,,,,,,,
Russian Federation,2003,female,1050,10257511,10.24,"430,347,770,732",3141,Generation X,25,34
,,,,,,,,,,
Russian Federation,2003,female,969,11942216,8.11,"430,347,770,732",3141,Millenials,15,24
,,,,,,,,,,
Russian Federation,2003,male,284,8328381,3.41,"430,347,770,732",3141,Millenials,5,14
,,,,,,,,,,
Russian Federation,2003,female,79,7960126,0.99,"430,347,770,732",3141,Millenials,5,14
,,,,,,,,,,
Russian Federation,2004,male,1580,1776778,88.93,"591,016,690,743",4312,Silent,75,120
,,,,,,,,,,
Russian Federation,2004,male,17465,20843896,83.79,"591,016,690,743",4312,Boomers,35,54
,,,,,,,,,,
Russian Federation,2004,male,7715,9924764,77.73,"591,016,690,743",4312,Silent,55,74
,,,,,,,,,,
Russian Federation,2004,male,7955,10461766,76.04,"591,016,690,743",4312,Generation X,25,34
,,,,,,,,,,
Russian Federation,2004,male,5891,12425537,47.41,"591,016,690,743",4312,Millenials,15,24
,,,,,,,,,,
Russian Federation,2004,female,1398,5370057,26.03,"591,016,690,743",4312,Silent,75,120
,,,,,,,,,,
Russian Federation,2004,female,2029,15236313,13.32,"591,016,690,743",4312,Silent,55,74
,,,,,,,,,,
Russian Federation,2004,female,2668,22956701,11.62,"591,016,690,743",4312,Boomers,35,54
,,,,,,,,,,
Russian Federation,2004,female,1042,10494419,9.93,"591,016,690,743",4312,Generation X,25,34
,,,,,,,,,,
Russian Federation,2004,female,992,12088752,8.21,"591,016,690,743",4312,Millenials,15,24
,,,,,,,,,,
Russian Federation,2004,male,288,7919935,3.64,"591,016,690,743",4312,Millenials,5,14
,,,,,,,,,,
Russian Federation,2004,female,73,7572781,0.96,"591,016,690,743",4312,Millenials,5,14
,,,,,,,,,,
Russian Federation,2005,male,1599,1885942,84.79,"764,017,107,992",5611,Silent,75,120
,,,,,,,,,,
Russian Federation,2005,male,15843,20550405,77.09,"764,017,107,992",5611,Boomers,35,54
,,,,,,,,,,
Russian Federation,2005,male,7796,10578048,73.7,"764,017,107,992",5611,Generation X,25,34
,,,,,,,,,,
Russian Federation,2005,male,7144,9977150,71.6,"764,017,107,992",5611,Silent,55,74
,,,,,,,,,,
Russian Federation,2005,male,5750,12357989,46.53,"764,017,107,992",5611,Millenials,15,24
,,,,,,,,,,
Russian Federation,2005,female,1304,5535287,23.56,"764,017,107,992",5611,Silent,75,120
,,,,,,,,,,
Russian Federation,2005,female,1884,15297324,12.32,"764,017,107,992",5611,Silent,55,74
,,,,,,,,,,
Russian Federation,2005,female,2311,22722081,10.17,"764,017,107,992",5611,Boomers,35,54
,,,,,,,,,,
Russian Federation,2005,female,992,10640505,9.32,"764,017,107,992",5611,Generation X,25,34
,,,,,,,,,,
Russian Federation,2005,female,904,12011488,7.53,"764,017,107,992",5611,Millenials,15,24
,,,,,,,,,,
Russian Federation,2005,male,206,7467908,2.76,"764,017,107,992",5611,Millenials,5,14
,,,,,,,,,,
Russian Federation,2005,female,69,7138064,0.97,"764,017,107,992",5611,Millenials,5,14
,,,,,,,,,,
Russian Federation,2006,male,1701,1966649,86.49,"989,930,542,279",7313,Silent,75,120
,,,,,,,,,,
Russian Federation,2006,male,7584,10691395,70.94,"989,930,542,279",7313,Generation X,25,34
,,,,,,,,,,
Russian Federation,2006,male,14020,20336306,68.94,"989,930,542,279",7313,Boomers,35,54
,,,,,,,,,,
Russian Federation,2006,male,6562,10054153,65.27,"989,930,542,279",7313,Silent,55,74
,,,,,,,,,,
Russian Federation,2006,male,5319,12174930,43.69,"989,930,542,279",7313,Millenials,15,24
,,,,,,,,,,
Russian Federation,2006,female,1401,5646287,24.81,"989,930,542,279",7313,Silent,75,120
,,,,,,,,,,
Russian Federation,2006,female,1719,15405634,11.16,"989,930,542,279",7313,Silent,55,74
,,,,,,,,,,
Russian Federation,2006,female,2189,22545749,9.71,"989,930,542,279",7313,Boomers,35,54
,,,,,,,,,,
Russian Federation,2006,female,974,10784340,9.03,"989,930,542,279",7313,Generation X,25,34
,,,,,,,,,,
Russian Federation,2006,female,869,11819245,7.35,"989,930,542,279",7313,Millenials,15,24
,,,,,,,,,,
Russian Federation,2006,male,201,7123987,2.82,"989,930,542,279",7313,Millenials,5,14
,,,,,,,,,,
Russian Federation,2006,female,75,6808787,1.1,"989,930,542,279",7313,Millenials,5,14
,,,,,,,,,,
Russian Federation,2007,male,1660,2015773,82.35,"1,299,705,247,686",9643,Silent,75,120
,,,,,,,,,,
Russian Federation,2007,male,7483,10843276,69.01,"1,299,705,247,686",9643,Generation X,25,34
,,,,,,,,,,
Russian Federation,2007,male,13065,20173873,64.76,"1,299,705,247,686",9643,Boomers,35,54
,,,,,,,,,,
Russian Federation,2007,male,6151,10209479,60.25,"1,299,705,247,686",9643,Silent,55,74
,,,,,,,,,,
Russian Federation,2007,male,5257,11862129,44.32,"1,299,705,247,686",9643,Millenials,15,24
,,,,,,,,,,
Russian Federation,2007,female,1358,5710937,23.78,"1,299,705,247,686",9643,Silent,75,120
,,,,,,,,,,
Russian Federation,2007,female,1738,15620091,11.13,"1,299,705,247,686",9643,Silent,55,74
,,,,,,,,,,
Russian Federation,2007,female,2176,22379725,9.72,"1,299,705,247,686",9643,Boomers,35,54
,,,,,,,,,,
Russian Federation,2007,female,1051,10944247,9.6,"1,299,705,247,686",9643,Generation X,25,34
,,,,,,,,,,
Russian Federation,2007,female,949,11502702,8.25,"1,299,705,247,686",9643,Millenials,15,24
,,,,,,,,,,
Russian Federation,2007,male,192,6911384,2.78,"1,299,705,247,686",9643,Generation Z,5,14
,,,,,,,,,,
Russian Federation,2007,female,69,6605348,1.04,"1,299,705,247,686",9643,Generation Z,5,14
,,,,,,,,,,
Russian Federation,2008,male,1712,2029226,84.37,"1,660,844,408,500",12359,Silent,75,120
,,,,,,,,,,
Russian Federation,2008,male,6860,11091377,61.85,"1,660,844,408,500",12359,Generation X,25,34
,,,,,,,,,,
Russian Federation,2008,male,11848,20041975,59.12,"1,660,844,408,500",12359,Boomers,35,54
,,,,,,,,,,
Russian Federation,2008,male,5855,10403205,56.28,"1,660,844,408,500",12359,Silent,55,74
,,,,,,,,,,
Russian Federation,2008,male,4863,11377099,42.74,"1,660,844,408,500",12359,Millenials,15,24
,,,,,,,,,,
Russian Federation,2008,female,1285,5714841,22.49,"1,660,844,408,500",12359,Silent,75,120
,,,,,,,,,,
Russian Federation,2008,female,1613,15906813,10.14,"1,660,844,408,500",12359,Silent,55,74
,,,,,,,,,,
Russian Federation,2008,female,2040,22229346,9.18,"1,660,844,408,500",12359,Boomers,35,54
,,,,,,,,,,
Russian Federation,2008,female,981,11179123,8.78,"1,660,844,408,500",12359,Generation X,25,34
,,,,,,,,,,
Russian Federation,2008,female,916,11025088,8.31,"1,660,844,408,500",12359,Millenials,15,24
,,,,,,,,,,
Russian Federation,2008,male,148,6848169,2.16,"1,660,844,408,500",12359,Generation Z,5,14
,,,,,,,,,,
Russian Federation,2008,female,90,6539687,1.38,"1,660,844,408,500",12359,Generation Z,5,14
,,,,,,,,,,
Russian Federation,2009,male,1534,2012787,76.21,"1,222,643,696,992",9118,Silent,75,120
,,,,,,,,,,
Russian Federation,2009,male,7233,11373727,63.59,"1,222,643,696,992",9118,Generation X,25,34
,,,,,,,,,,
Russian Federation,2009,male,11721,19901557,58.89,"1,222,643,696,992",9118,Boomers,35,54
,,,,,,,,,,
Russian Federation,2009,male,5637,10645241,52.95,"1,222,643,696,992",9118,Silent,55,74
,,,,,,,,,,
Russian Federation,2009,male,4632,10819693,42.81,"1,222,643,696,992",9118,Millenials,15,24
,,,,,,,,,,
Russian Federation,2009,female,1133,5657810,20.03,"1,222,643,696,992",9118,Silent,75,120
,,,,,,,,,,
Russian Federation,2009,female,1519,16287675,9.33,"1,222,643,696,992",9118,Silent,55,74
,,,,,,,,,,
Russian Federation,2009,female,1930,22050450,8.75,"1,222,643,696,992",9118,Boomers,35,54
,,,,,,,,,,
Russian Federation,2009,female,986,11440839,8.62,"1,222,643,696,992",9118,Generation X,25,34
,,,,,,,,,,
Russian Federation,2009,female,839,10472951,8.01,"1,222,643,696,992",9118,Millenials,15,24
,,,,,,,,,,
Russian Federation,2009,male,166,6869835,2.42,"1,222,643,696,992",9118,Generation Z,5,14
,,,,,,,,,,
